HASH DOUBLE,RANDOM,60000,DELETE,0.031
AVL,REVERSE,60000,INSERT,0.257
AVL,REVERSE,60000,SEARCH,0.043
AVL,REVERSE,60000,DELETE,0.177
SPLAY,REVERSE,60000,INSERT,0.015
SPLAY,REVERSE,60000,SEARCH,0.013
SPLAY,REVERSE,60000,DELETE,0.041
HASH CHAIN,REVERSE,60000,INSERT,0.021
HASH CHAIN,REVERSE,60000,SEARCH,0.003
HASH CHAIN,REVERSE,60000,DELETE,0.019
HASH DOUBLE,REVERSE,60000,INSERT,0.028
HASH DOUBLE,REVERSE,60000,SEARCH,0.005
HASH DOUBLE,REVERSE,60000,DELETE,0.022
AVL,SORTED,80000,INSERT,0.227
AVL,SORTED,80000,SEARCH,0.046
AVL,SORTED,80000,DELETE,0.174
SPLAY,SORTED,80000,INSERT,0.015
SPLAY,SORTED,80000,SEARCH,0.015
SPLAY,SORTED,80000,DELETE,0.038
HASH CHAIN,SORTED,80000,INSERT,0.022
HASH CHAIN,SORTED,80000,SEARCH,0.004
HASH CHAIN,SORTED,80000,DELETE,0.018
HASH DOUBLE,SORTED,80000,INSERT,0.025
HASH DOUBLE,SORTED,80000,SEARCH,0.006
HASH DOUBLE,SORTED,80000,DELETE,0.024
AVL,RANDOM,80000,INSERT,0.346
AVL,RANDOM,80000,SEARCH,0.115
AVL,RANDOM,80000,DELETE,0.350
SPLAY,RANDOM,80000,INSERT,0.039
SPLAY,RANDOM,80000,SEARCH,0.018
SPLAY,RANDOM,80000,DELETE,0.018
HASH CHAIN,RANDOM,80000,INSERT,0.031
HASH CHAIN,RANDOM,80000,SEARCH,0.004
HASH CHAIN,RANDOM,80000,DELETE,0.027
HASH DOUBLE,RANDOM,80000,INSERT,0.042
HASH DOUBLE,RANDOM,80000,SEARCH,0.006
HASH DOUBLE,RANDOM,80000,DELETE,0.028
AVL,REVERSE,80000,INSERT,0.273
AVL,REVERSE,80000,SEARCH,0.045
AVL,REVERSE,80000,DELETE,0.186
SPLAY,REVERSE,80000,INSERT,0.014
SPLAY,REVERSE,80000,SEARCH,0.012
SPLAY,REVERSE,80000,DELETE,0.042
HASH CHAIN,REVERSE,80000,INSERT,0.020
HASH CHAIN,REVERSE,80000,SEARCH,0.003
HASH CHAIN,REVERSE,80000,DELETE,0.018
HASH DOUBLE,REVERSE,80000,INSERT,0.024
